file_label,file_size_bytes,strategy,ingest_time_s,download_time_s
100KB,100000,buddy,0.029525200000001917,0.04002499999999998
100KB,100000,buddy,0.026604599999998868,0.038956699999999955
100KB,100000,buddy,0.03678550000000058,0.04445289999999957
100KB,100000,buddy,0.027693500000001592,0.039205100000000215
100KB,100000,buddy,0.029836000000003082,0.0482408999999997
100KB,100000,buddy,0.0822162000000013,0.05008340000000189
100KB,100000,buddy,0.028507600000001077,0.054852100000001514
100KB,100000,buddy,0.029572399999999277,0.040652000000001465
100KB,100000,buddy,0.025826500000000863,0.04373700000000014
100KB,100000,buddy,0.03921470000000227,0.0438319000000007
100KB,100000,buddy,0.03195069999999944,0.04090810000000289
100KB,100000,buddy,0.025203499999999934,0.038387800000002414
100KB,100000,buddy,0.031936300000001694,0.04353670000000065
100KB,100000,buddy,0.037398099999997214,0.04135219999999862
100KB,100000,buddy,0.024619900000001138,0.04472120000000146
100KB,100000,buddy,0.02534819999999982,0.04674220000000062
100KB,100000,buddy,0.03176249999999925,0.041639299999999935
100KB,100000,buddy,0.02647479999999902,0.05273520000000076
100KB,100000,buddy,0.025041900000001505,0.045576399999998074
100KB,100000,buddy,0.03608949999999922,0.05217449999999957
100KB,100000,buddy,0.029111400000001453,0.03934510000000202
100KB,100000,buddy,0.025863700000002154,0.04482439999999954
100KB,100000,buddy,0.03577049999999815,0.08890680000000017
100KB,100000,buddy,0.02854729999999961,0.03829200000000199
100KB,100000,buddy,0.03655209999999798,0.04798590000000047
100KB,100000,buddy,0.025683399999998358,0.03948730000000111
100KB,100000,buddy,0.0266838000000007,0.037917199999998985
100KB,100000,buddy,0.027625300000000408,0.037748499999999297
100KB,100000,buddy,0.03995700000000113,0.05737009999999998
100KB,100000,buddy,0.02426009999999934,0.0411646999999995
100KB,100000,buddy,0.02473280000000244,0.03685520000000153
100KB,100000,buddy,0.025242299999998608,0.03987069999999804
100KB,100000,buddy,0.031215100000000717,0.052536899999999775
100KB,100000,buddy,0.02499819999999886,0.041046999999998945
100KB,100000,buddy,0.02632769999999951,0.04078489999999846
100KB,100000,buddy,0.02633029999999792,0.03832389999999819
100KB,100000,buddy,0.041580499999998466,0.0419741000000009
100KB,100000,buddy,0.027771000000001322,0.039289600000000036
100KB,100000,buddy,0.02617180000000019,0.044973699999999894
100KB,100000,buddy,0.030486700000000866,0.04577489999999784
100KB,100000,buddy,0.0261585999999987,0.08768789999999882
100KB,100000,buddy,0.03210190000000068,0.04445620000000261
100KB,100000,buddy,0.027568099999999873,0.04499510000000129
100KB,100000,buddy,0.027188699999999955,0.03962200000000138
100KB,100000,buddy,0.0279658999999981,0.04152309999999915
100KB,100000,buddy,0.03509479999999954,0.04331009999999935
100KB,100000,buddy,0.03387419999999963,0.03935029999999884
100KB,100000,buddy,0.026018700000001616,0.049446100000000826
100KB,100000,buddy,0.030393899999999974,0.03905859999999706
100KB,100000,buddy,0.026294299999999993,0.04369299999999754
100KB,100000,buddy,0.025559599999997573,0.04306749999999937
100KB,100000,buddy,0.033962999999999965,0.04181170000000023
100KB,100000,buddy,0.025111400000000117,0.0383039000000025
100KB,100000,buddy,0.024322600000001415,0.039972200000001123
100KB,100000,buddy,0.033436500000000535,0.04272050000000149
100KB,100000,buddy,0.028401699999999863,0.042686199999998564
100KB,100000,buddy,0.026459500000001412,0.04167670000000001
100KB,100000,buddy,0.042173199999997024,0.04591950000000011
100KB,100000,buddy,0.2124094999999997,0.10367800000000216
100KB,100000,buddy,0.02621899999999755,0.039341800000002536
100KB,100000,buddy,0.03143999999999991,0.03981980000000007
100KB,100000,buddy,0.05357400000000112,0.04878150000000048
100KB,100000,buddy,0.0330155000000012,0.0414090999999992
100KB,100000,buddy,0.025710799999998812,0.038268099999999805
100KB,100000,buddy,0.026283900000002802,0.044849700000000325
100KB,100000,buddy,0.03372059999999877,0.04333899999999957
100KB,100000,buddy,0.026027500000001424,0.04014219999999824
100KB,100000,buddy,0.025794699999998727,0.04587450000000004
100KB,100000,buddy,0.03691159999999982,0.04094249999999988
100KB,100000,buddy,0.03320059999999714,0.040729500000001195
100KB,100000,buddy,0.026527600000001428,0.04711520000000036
100KB,100000,buddy,0.03447869999999753,0.046780099999999436
100KB,100000,buddy,0.02796209999999988,0.041987999999999914
100KB,100000,buddy,0.02677879999999888,0.0458818999999977
100KB,100000,buddy,0.04485690000000275,0.09408420000000106
100KB,100000,buddy,0.05060220000000015,0.0893336999999974
100KB,100000,buddy,0.15158179999999888,0.08664750000000154
100KB,100000,buddy,0.02974110000000252,0.08313099999999807
100KB,100000,buddy,0.042032199999997744,0.05543800000000232
1MB,1000000,random,0.06179600000000107,0.06703970000000226
1MB,1000000,random,0.20066540000000188,0.05596660000000142
1MB,1000000,random,0.05737640000000255,0.07872389999999996
1MB,1000000,random,0.038287000000000404,0.08718380000000181
1MB,1000000,random,0.06441179999999846,0.08687000000000111
1MB,1000000,random,0.06280280000000005,0.09964160000000177
1MB,1000000,random,0.07441809999999904,0.05480579999999691
1MB,1000000,random,0.04404210000000219,0.05960759999999965
1MB,1000000,random,0.06590299999999871,0.04742650000000026
1MB,1000000,random,0.039407900000000495,0.05408339999999967
1MB,1000000,random,0.2663512999999966,0.05388520000000341
1MB,1000000,random,0.06969269999999739,0.06280999999999892
1MB,1000000,random,0.17150709999999947,0.05135010000000051
1MB,1000000,random,0.1313026999999991,0.05326529999999963
1MB,1000000,random,0.052211299999996186,0.05106509999999531
1MB,1000000,random,0.053575999999999624,0.06328570000000155
1MB,1000000,random,0.04698439999999948,0.059439199999999914
1MB,1000000,random,0.04932439999999616,0.05214550000000173
1MB,1000000,random,0.0711275000000029,0.06467239999999919
1MB,1000000,random,0.040627000000000635,0.06351109999999949
1MB,1000000,random,0.3848156999999972,0.09819130000000342
1MB,1000000,random,0.08680890000000119,0.09272550000000024
1MB,1000000,random,0.08679719999999946,0.06598929999999825
1MB,1000000,random,0.0540655000000001,0.06365440000000433
1MB,1000000,random,0.056030800000002046,0.09316799999999859
1MB,1000000,random,0.07474320000000034,0.05706620000000129
1MB,1000000,random,0.059752699999997105,0.09782249999999948
1MB,1000000,random,0.19432859999999863,0.0676156999999975
1MB,1000000,random,0.0782364999999956,0.06596329999999995
1MB,1000000,random,0.05459760000000102,0.07403539999999964
1MB,1000000,random,0.0580514999999977,0.08232739999999694
1MB,1000000,random,0.05478729999999388,0.11701419999999985
1MB,1000000,random,0.07643190000000288,0.07995449999999948
1MB,1000000,random,0.10416130000000123,0.09715319999999394
1MB,1000000,random,0.08361980000000102,0.3822057000000001
1MB,1000000,random,0.04523199999999861,0.06150949999999966
1MB,1000000,random,0.05467540000000071,0.06457270000000648
1MB,1000000,random,0.07545040000000114,0.054340000000003386
1MB,1000000,random,0.050260799999996664,0.0578068000000016
1MB,1000000,random,0.04408759999999745,0.05026359999999386
1MB,1000000,random,0.04756629999999973,0.05383989999999983
1MB,1000000,random,0.08879789999999588,0.05241269999999787
1MB,1000000,random,0.04079229999999967,0.04995980000000344
1MB,1000000,random,0.1076295000000016,0.06448060000000311
1MB,1000000,random,0.041532899999999984,0.04670589999999919
1MB,1000000,random,0.0431207000000029,0.048566100000002166
1MB,1000000,random,0.0529044999999968,0.056027700000001346
1MB,1000000,random,0.06302170000000018,0.049366800000001376
1MB,1000000,random,0.039536999999995714,0.04693989999999815
